Price,Close,High,Low,Open,Volume
Ticker,QAN.AX,QAN.AX,QAN.AX,QAN.AX,QAN.AX
Date,,,,,
2020-01-02,7.159999847412109,7.210000038146973,7.119999885559082,7.139999866485596,4980666
2020-01-03,7.190000057220459,7.309999942779541,7.159999847412109,7.28000020980835,2763615
2020-01-06,7.0,7.03000020980835,6.909999847412109,7.010000228881836,7859151
2020-01-07,7.099999904632568,7.255000114440918,7.079999923706055,7.230000019073486,7589056
2020-01-08,6.860000133514404,7.079999923706055,6.760000228881836,7.050000190734863,13449760
2020-01-09,6.949999809265137,7.0,6.900000095367432,6.96999979019165,6173211
2020-01-10,7.0,7.059999942779541,6.960000038146973,6.989999771118164,4450193
2020-01-13,7.019999980926514,7.059999942779541,6.980000019073486,6.980000019073486,3842992
2020-01-14,7.110000133514404,7.150000095367432,7.079999923706055,7.090000152587891,4958613
2020-01-15,7.039999961853027,7.199999809265137,7.019999980926514,7.170000076293945,10472071
2020-01-16,7.070000171661377,7.070000171661377,7.019999980926514,7.039999961853027,10728336
2020-01-17,7.150000095367432,7.150000095367432,7.099999904632568,7.119999885559082,9619822
2020-01-20,7.050000190734863,7.150000095367432,7.03000020980835,7.150000095367432,6159123
2020-01-21,6.929999828338623,7.0,6.909999847412109,7.0,6672381
2020-01-22,6.789999961853027,6.880000114440918,6.784999847412109,6.809999942779541,12568941
2020-01-23,6.659999847412109,6.829999923706055,6.650000095367432,6.789999961853027,14837799
2020-01-24,6.710000038146973,6.789999961853027,6.710000038146973,6.75,9301187
2020-01-28,6.360000133514404,6.46999979019165,6.28000020980835,6.380000114440918,13515560
2020-01-29,6.510000228881836,6.539999961853027,6.389999866485596,6.440000057220459,19818269
2020-01-30,6.519999980926514,6.539999961853027,6.480000019073486,6.519999980926514,10004597
2020-01-31,6.409999847412109,6.519999980926514,6.409999847412109,6.46999979019165,10154134
2020-02-03,6.369999885559082,6.375,6.199999809265137,6.199999809265137,8360451
2020-02-04,6.510000228881836,6.579999923706055,6.420000076293945,6.449999809265137,10334706
2020-02-05,6.559999942779541,6.699999809265137,6.519999980926514,6.699999809265137,11110021
2020-02-06,6.659999847412109,6.659999847412109,6.579999923706055,6.579999923706055,6065016
2020-02-07,6.480000019073486,6.739999771118164,6.465000152587891,6.730000019073486,7317524
2020-02-10,6.420000076293945,6.519999980926514,6.360000133514404,6.510000228881836,7850746
2020-02-11,6.409999847412109,6.510000228881836,6.369999885559082,6.5,11019061
2020-02-12,6.46999979019165,6.494999885559082,6.360000133514404,6.360000133514404,7320361
2020-02-13,6.46999979019165,6.534999847412109,6.400000095367432,6.510000228881836,5691958
2020-02-14,6.429999828338623,6.510000228881836,6.420000076293945,6.5,7435702
2020-02-17,6.349999904632568,6.480000019073486,6.349999904632568,6.460000038146973,15860131
2020-02-18,6.230000019073486,6.324999809265137,6.224999904632568,6.28000020980835,10499038
2020-02-19,6.300000190734863,6.340000152587891,6.21999979019165,6.230000019073486,8075694
2020-02-20,6.670000076293945,6.829999923706055,6.599999904632568,6.610000133514404,13664340
2020-02-21,6.510000228881836,6.639999866485596,6.420000076293945,6.610000133514404,13532030
2020-02-24,6.019999980926514,6.289999961853027,5.96999979019165,6.25,11357539
2020-02-25,5.900000095367432,5.960000038146973,5.71999979019165,5.75,23712619
2020-02-26,5.71999979019165,5.829999923706055,5.650000095367432,5.739999771118164,11724587
2020-02-27,5.639999866485596,5.769999980926514,5.550000190734863,5.610000133514404,15446565
2020-02-28,5.53000020980835,5.630000114440918,5.349999904632568,5.449999809265137,26354420
2020-03-02,5.309999942779541,5.329999923706055,5.139999866485596,5.199999809265137,16624680
2020-03-03,5.230000019073486,5.460000038146973,5.230000019073486,5.300000190734863,21165021
2020-03-04,5.070000171661377,5.199999809265137,5.019999980926514,5.070000171661377,12587200
2020-03-05,5.070000171661377,5.179999828338623,5.03000020980835,5.139999866485596,15513106
2020-03-06,4.659999847412109,4.96999979019165,4.659999847412109,4.960000038146973,13836135
2020-03-09,4.150000095367432,4.440000057220459,4.150000095367432,4.320000171661377,23426795
2020-03-10,4.449999809265137,4.605000019073486,3.8499999046325684,3.9700000286102295,38249166
2020-03-11,4.039999961853027,4.349999904632568,3.8499999046325684,4.349999904632568,36215383
2020-03-12,3.640000104904175,4.03000020980835,3.5399999618530273,3.950000047683716,26642867
2020-03-13,3.180000066757202,3.619999885559082,3.059999942779541,3.5,51444429
2020-03-16,3.0199999809265137,3.2899999618530273,2.8299999237060547,2.9600000381469727,31898956
2020-03-17,2.859999895095825,3.2100000381469727,2.8299999237060547,3.049999952316284,35970824
2020-03-18,2.5299999713897705,2.799999952316284,2.259999990463257,2.799999952316284,52790278
2020-03-19,2.140000104904175,2.4700000286102295,2.0299999713897705,2.2300000190734863,33515383
2020-03-20,2.359999895095825,2.75,2.2100000381469727,2.380000114440918,28014236
2020-03-23,2.4100000858306885,2.490000009536743,2.2100000381469727,2.3299999237060547,21823489
2020-03-24,2.5899999141693115,2.630000114440918,2.4600000381469727,2.5799999237060547,18862803
2020-03-25,3.2699999809265137,3.4000000953674316,2.9200000762939453,2.950000047683716,43807293
